,public,name,url
132,True,ucudal/pii_2019_equipo3,https://api.github.com/repos/ucudal/pii_2019_equipo3
133,True,BarracudaPff/dungeons_and_orcs,https://api.github.com/repos/BarracudaPff/dungeons_and_orcs
134,True,hdatom/CUDA-apriori,https://api.github.com/repos/hdatom/CUDA-apriori
135,True,whyarewe/PKG_CUDA,https://api.github.com/repos/whyarewe/PKG_CUDA
137,True,klaywittler/CUDA-iterative-closest-point,https://api.github.com/repos/klaywittler/CUDA-iterative-closest-point
138,True,XianmengZhang/CUDA,https://api.github.com/repos/XianmengZhang/CUDA
139,True,dmilkie/cudaDecon,https://api.github.com/repos/dmilkie/cudaDecon
140,True,ResearchIT/singularity.pycuda.chroma,https://api.github.com/repos/ResearchIT/singularity.pycuda.chroma
141,True,xxycrab/Matrix-Multiplication-with-CUDA,https://api.github.com/repos/xxycrab/Matrix-Multiplication-with-CUDA
142,True,lei-hsia/cpp_cudaC,https://api.github.com/repos/lei-hsia/cpp_cudaC
143,True,hschoi4448/CUDABasic,https://api.github.com/repos/hschoi4448/CUDABasic
145,True,kk17m/CUDA-Numerical-Discretization-On-a-Grid,https://api.github.com/repos/kk17m/CUDA-Numerical-Discretization-On-a-Grid
146,True,haCo77/Project3-CUDA-Path-Tracer,https://api.github.com/repos/haCo77/Project3-CUDA-Path-Tracer
147,True,Saurabh-29/waveglow_cuda_inference,https://api.github.com/repos/Saurabh-29/waveglow_cuda_inference
148,True,jparimaa/cuda-rt,https://api.github.com/repos/jparimaa/cuda-rt
149,True,MoonL1ght/rust-cuda,https://api.github.com/repos/MoonL1ght/rust-cuda
150,True,dargmuesli/cuda-basics,https://api.github.com/repos/dargmuesli/cuda-basics
151,True,rust-cuda/cuda-sys,https://api.github.com/repos/rust-cuda/cuda-sys
152,True,adderbyte/cuda_programing_hpc,https://api.github.com/repos/adderbyte/cuda_programing_hpc
153,True,andreyhristov/cuda-tensorflow-xavier,https://api.github.com/repos/andreyhristov/cuda-tensorflow-xavier
154,True,nagaitomoaki/cuda_opencv,https://api.github.com/repos/nagaitomoaki/cuda_opencv
156,True,UnofficialJuliaMirror/CUDAnative.jl-be33ccc6-a3ff-5ff2-a52e-74243cff1e17,https://api.github.com/repos/UnofficialJuliaMirror/CUDAnative.jl-be33ccc6-a3ff-5ff2-a52e-74243cff1e17
158,True,xmrig/xmrig-cuda,https://api.github.com/repos/xmrig/xmrig-cuda
159,True,aFuerst/PyCUDA-Raster,https://api.github.com/repos/aFuerst/PyCUDA-Raster
160,True,isazi/docker-cuda-python-opencv,https://api.github.com/repos/isazi/docker-cuda-python-opencv
161,True,botforge/CUDA-ScanMatcher-ICP,https://api.github.com/repos/botforge/CUDA-ScanMatcher-ICP
162,True,ilonatommy/cuda_opencl,https://api.github.com/repos/ilonatommy/cuda_opencl
163,True,6mori/meanshift-cuda,https://api.github.com/repos/6mori/meanshift-cuda
164,True,rust-cuda/wg,https://api.github.com/repos/rust-cuda/wg
165,True,eegkno/CUDA_by_practice,https://api.github.com/repos/eegkno/CUDA_by_practice
166,True,mrocklin/dask-cuda,https://api.github.com/repos/mrocklin/dask-cuda
167,True,DishaJindal/Project1-CUDA-Flocking,https://api.github.com/repos/DishaJindal/Project1-CUDA-Flocking
168,True,avocuda/pool,https://api.github.com/repos/avocuda/pool
170,True,headupinclouds/cmake_cuda_test,https://api.github.com/repos/headupinclouds/cmake_cuda_test
171,True,garymacindoe/cuda-cholesky,https://api.github.com/repos/garymacindoe/cuda-cholesky
172,True,SoninVI/cuda,https://api.github.com/repos/SoninVI/cuda
174,True,jcuda/jcuda-main,https://api.github.com/repos/jcuda/jcuda-main
175,True,kashif/node-cuda,https://api.github.com/repos/kashif/node-cuda
176,True,RealTimeChris/Julia-Set-Generator-CUDA,https://api.github.com/repos/RealTimeChris/Julia-Set-Generator-CUDA
177,True,AidanFRyan/cudaRayTrace,https://api.github.com/repos/AidanFRyan/cudaRayTrace
178,True,atomicbits/nn-cuda-experiments,https://api.github.com/repos/atomicbits/nn-cuda-experiments
179,True,PacktPublishing/CUDA-Projects,https://api.github.com/repos/PacktPublishing/CUDA-Projects
180,True,Fibird/cuda_pencildraw,https://api.github.com/repos/Fibird/cuda_pencildraw
183,True,zhouhaiy/cuda-ldg-example,https://api.github.com/repos/zhouhaiy/cuda-ldg-example
184,True,yhz-1995/cudaica_win,https://api.github.com/repos/yhz-1995/cudaica_win
185,True,ucudal/pii_2019_2_equipo12,https://api.github.com/repos/ucudal/pii_2019_2_equipo12
186,True,Djeeb/cuda-tests,https://api.github.com/repos/Djeeb/cuda-tests
187,True,barracuda7/android_frameworks_base,https://api.github.com/repos/barracuda7/android_frameworks_base
